Drill Listing
=============
Drill: .01181  Tool: 1  Feed: 95  Speed: 300
X 243110  Y 231496
X 244094  Y 246456
X 268503  Y 259251
X 298818  Y 259251
X 288385  Y 259055
X 278740  Y 259055
X 275984  Y 229133
X 285629  Y 228937
X 292913  Y 228543
X 279527  Y 221653
X 290354  Y 137598
X 316732  Y 174409
X 303149  Y 177362
X 329133  Y 191535
X 318897  Y 228149
X 308267  Y 228740
X 300984  Y 228740
X 332677  Y 239173
X 345866  Y 239173
X 318700  Y 259251
X 308464  Y 259448

Drill: .035  Tool: 2  Feed: 197  Speed: 550
X 125196  Y 113779
X 135196  Y 113779
X 145196  Y 113779
X 125196  Y 124015
X 135196  Y 124015
X 145196  Y 124015
X 145196  Y 154015
X 135196  Y 154015
X 125196  Y 154015
X 125196  Y 163779
X 135196  Y 163779
X 145196  Y 163779
X 144881  Y 176377
X 144881  Y 185826
X 144881  Y 215826
X 144881  Y 225196
X 173964  Y 302125
X 164173  Y 284251
X 174173  Y 284251
X 174173  Y 275275
X 164173  Y 275275
X 164173  Y 245275
X 174173  Y 245275
X 174173  Y 236614
X 164173  Y 236614
X 164881  Y 225196
X 174881  Y 225196
X 154881  Y 225196
X 174881  Y 215826
X 164881  Y 215826
X 154881  Y 215826
X 154881  Y 185826
X 164881  Y 185826
X 174881  Y 185826
X 164881  Y 176377
X 154881  Y 176377
X 174881  Y 176377
X 155196  Y 163779
X 165196  Y 163779
X 165196  Y 154015
X 155196  Y 154015
X 155196  Y 124015
X 165196  Y 124015
X 155196  Y 113779
X 165196  Y 113779
X 175196  Y 113779
X 185196  Y 113779
X 195196  Y 113779
X 175196  Y 124015
X 185196  Y 124015
X 195196  Y 124015
X 195196  Y 154015
X 185196  Y 154015
X 175196  Y 154015
X 175196  Y 163779
X 185196  Y 163779
X 195196  Y 163779
X 194881  Y 176377
X 184881  Y 176377
X 184881  Y 185826
X 194881  Y 185826
X 194881  Y 215826
X 184881  Y 215826
X 194881  Y 225196
X 184881  Y 225196
X 194173  Y 236614
X 184173  Y 236614
X 184173  Y 245275
X 194173  Y 245275
X 194173  Y 275275
X 184173  Y 275275
X 184173  Y 284251
X 194173  Y 284251
X 183964  Y 302125
X 193964  Y 302125
X 203964  Y 302125
X 213964  Y 302125
X 223964  Y 302125
X 204173  Y 284251
X 214173  Y 284251
X 224173  Y 284251
X 224173  Y 275275
X 214173  Y 275275
X 204173  Y 275275
X 204173  Y 245275
X 214173  Y 245275
X 224173  Y 245275
X 204173  Y 236614
X 214173  Y 236614
X 224173  Y 236614
X 204881  Y 225196
X 214881  Y 225196
X 214881  Y 215826
X 204881  Y 215826
X 204881  Y 185826
X 214881  Y 185826
X 214881  Y 176377
X 204881  Y 176377
X 209964  Y 112125
X 219964  Y 112125
X 239964  Y 112125
X 249964  Y 112125
X 229964  Y 112125
X 234173  Y 236614
X 234173  Y 245275
X 234173  Y 275275
X 234173  Y 284251
X 243964  Y 302125
X 233964  Y 302125
X 253964  Y 302125
X 263964  Y 302125
X 279964  Y 302125
X 289964  Y 302125
X 299964  Y 302125
X 290535  Y 160767
X 280535  Y 160767
X 259964  Y 112125
X 279964  Y 112125
X 269964  Y 112125
X 300015  Y 112055
X 320015  Y 112055
X 310015  Y 112055
X 330015  Y 112055
X 350015  Y 112055
X 340015  Y 112055
X 310535  Y 160767
X 300535  Y 160767
X 319964  Y 302125
X 349964  Y 302125
X 339964  Y 302125
X 309964  Y 302125
X 329964  Y 302125
X 361248  Y 271177
X 361248  Y 261177
X 361248  Y 251177
X 361248  Y 241177

Drill: .0374  Tool: 3  Feed: 197  Speed: 550
X 344291  Y 141732
X 345078  Y 168700
X 355078  Y 168700
X 365078  Y 168700
X 364291  Y 141732
X 354291  Y 141732

End of Listing
